地點名稱,地址,行政區,緯度,經度,通報時間,嚴重程度,描述
饒河街夜市攤位旁,台北市松山區饒河街,松山區,25.0499,121.5774,2026-04-01 20:30,5,排水溝旁出現多隻大型老鼠，於用餐時段出沒
師大夜市巷弄,台北市大安區師大路,大安區,25.0238,121.5296,2026-04-02 21:00,4,攤位垃圾桶附近發現老鼠活動痕跡
華西街夜市,台北市萬華區華西街,萬華區,25.0405,121.4988,2026-04-03 22:15,5,超多，排水孔附近至少5隻以上
南機場夜市,台北市中正區中華路二段,中正區,25.0300,121.5047,2026-04-04 19:45,4,垃圾集中區附近發現老鼠洞穴
晴光市場,台北市中山區農安街,中山區,25.0600,121.5326,2026-04-05 08:00,3,早市攤位旁發現老鼠排泄物
台北醫學大學附醫美食街,台北市信義區吳興街,信義區,25.0395,121.5676,2026-04-06 12:30,4,用餐時段老鼠從廚房下方竄出
濱江市場週邊,台北市中山區濱江街,中山區,25.0710,121.5330,2026-04-07 07:30,5,市場外圍排水溝老鼠數量極多
迪化街商圈,台北市大同區迪化街一段,大同區,25.0570,121.5096,2026-04-08 10:00,3,藥材行倉庫旁發現老鼠咬痕
景美夜市入口,台北市文山區景美街,文山區,24.9930,121.5380,2026-04-09 20:00,4,夜市入口垃圾桶老鼠頻繁出沒
士林夜市地下商場,台北市士林區基河路,士林區,25.0939,121.5263,2026-04-10 19:00,5,地下美食區排水溝多隻老鼠
西門町商圈,台北市萬華區西門町,萬華區,25.0424,121.5077,2026-04-11 21:30,3,電影街巷弄發現老鼠活動
民生社區市場,台北市松山區民生東路,松山區,25.0540,121.5596,2026-04-12 08:15,3,傳統市場攤位下方老鼠洞
台灣大學側門附近,台北市大安區羅斯福路四段,大安區,25.0170,121.5380,2026-04-13 23:00,2,校園圍牆旁草叢發現老鼠
台北車站地下街,台北市中正區忠孝西路一段,中正區,25.0479,121.5170,2026-04-14 18:00,4,地下街角落多處老鼠排泄物
東門市場,台北市大安區信義路二段,大安區,25.0340,121.5296,2026-04-15 07:00,3,市場地下停車場發現老鼠
內湖市場,台北市內湖區內湖路一段,內湖區,25.0710,121.5913,2026-04-16 09:30,4,市場後方垃圾集中點老鼠猖獗
新北投溫泉街,台北市北投區中山路,北投區,25.1370,121.5030,2026-04-17 20:30,2,溫泉旅館附近排水溝發現老鼠
八德路市場週邊,台北市松山區八德路二段,松山區,25.0455,121.5596,2026-04-18 07:45,4,傳統市場外圍老鼠洞多處
象山公園登山口,台北市信義區象山親山步道,信義區,25.0270,121.5740,2026-04-19 06:00,2,步道入口草叢附近發現老鼠
南京東路夜市周邊,台北市中山區南京東路二段,中山區,25.0559,121.5326,2026-04-20 21:00,3,路邊攤聚集處垃圾堆旁老鼠出沒
